i,valid_fac_cf,dplayer_y_fac_cf,pix_meanabs_fac_cf,token_hamming_fac_cf,collision_fac_cf,prequant_latent_dist_fac_cf,token_hamming_fac_other,collision_fac_other,cur_tokens,fac_tokens,cf_tokens
56,True,0.0,0.0,0,True,0.0,0,True,37|37|37|37,13|13|13|13,13|13|13|13
57,True,6.0,0.11210317460317461,4,False,7.2375688552856445,1,False,14|14|14|14,33|33|33|33,14|27|14|14
58,True,0.0,0.0,0,True,0.0,0,True,4|34|4|4,21|61|21|21,21|61|21|21
59,True,0.0,0.0,0,True,0.0,0,True,40|37|37|40,40|37|40|40,40|37|40|40
60,True,6.0,0.11224489795918367,4,False,10.432268142700195,4,False,60|60|60|60,46|46|46|46,15|15|15|15
61,True,6.0,0.11210317460317461,4,False,10.283858299255371,4,False,43|62|62|43,60|60|60|60,17|17|17|17
62,True,6.0,0.11210317460317461,4,False,9.778640747070312,4,False,27|27|27|27,1|1|1|1,27|27|27|27
63,True,0.0,0.0,0,True,0.0,0,True,19|19|19|19,19|19|19|19,19|19|19|19
64,True,6.0,0.11238662131519274,4,False,9.141087532043457,4,False,27|27|27|27,13|13|13|13,40|40|40|40
65,True,0.0,0.0,0,True,0.0,0,True,25|25|25|25,25|25|25|25,25|25|25|25
66,True,0.0,0.0,0,True,0.0,0,True,0|0|0|0,0|0|0|0,0|0|0|0
67,True,0.0,0.0,0,True,0.0,0,True,40|40|40|40,63|63|63|63,63|63|63|63
68,True,0.0,0.0,0,True,0.0,0,True,51|51|51|51,51|51|51|51,51|51|51|51
69,True,5.0,0.11238662131519274,4,False,13.230966567993164,4,False,54|54|54|54,54|54|54|54,50|50|50|50
70,True,5.0,0.0939625850340136,4,False,9.849113464355469,4,False,51|51|51|51,62|26|26|62,51|56|51|51
71,True,6.0,0.11252834467120182,4,False,13.05672836303711,4,False,46|46|46|46,38|41|38|38,16|47|47|16
72,True,6.0,0.11210317460317461,2,False,9.063580513000488,4,False,17|51|51|17,42|61|61|42,24|61|61|24
73,True,6.0,0.11267006802721088,4,False,10.965126037597656,4,False,54|20|20|54,31|62|62|31,54|9|9|54
74,True,0.0,0.0,0,True,0.0,0,True,29|29|29|29,29|29|29|29,29|29|29|29
75,True,0.0,0.0,0,True,0.0,0,True,21|21|21|21,16|21|21|16,16|21|21|16
76,True,0.0,0.0,0,True,0.0,0,True,40|40|40|40,1|1|1|1,1|1|1|1
77,True,0.0,0.0,0,True,0.0,0,True,43|31|31|43,51|9|51|51,51|9|51|51
78,True,6.0,0.11224489795918367,4,False,14.375246047973633,4,False,46|46|46|46,61|61|61|61,17|15|15|17
79,True,0.0,0.0,0,True,0.0,0,True,11|33|11|11,19|19|19|19,19|19|19|19
80,True,6.0,0.11267006802721088,4,False,8.567662239074707,1,False,1|29|1|1,1|1|1|1,8|8|8|8
81,True,6.0,0.11267006802721088,4,False,10.645867347717285,4,False,8|8|8|8,8|8|8|8,33|14|33|33
82,True,5.0,0.11238662131519274,4,False,7.372654914855957,4,False,17|46|46|17,44|44|44|44,17|46|46|17
83,True,6.0,0.11210317460317461,4,False,11.018566131591797,4,False,3|57|3|3,52|52|52|52,11|11|11|11
84,True,0.0,0.0,0,True,0.0,0,True,56|10|56|56,56|10|56|56,56|10|56|56
85,True,5.0,0.11210317460317461,4,False,11.83491325378418,4,False,40|9|40|40,46|46|46|46,16|16|16|16
86,True,6.0,0.11238662131519274,4,False,13.027653694152832,4,False,42|62|62|42,51|51|51|51,42|31|31|42
87,True,0.0,0.0,0,True,0.0,0,True,51|35|11|51,51|14|51|51,51|14|51|51
88,True,6.0,0.11210317460317461,4,False,8.25213623046875,4,False,61|61|61|61,16|16|16|16,46|46|46|46
